Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
CA-2022-100000,2022-11-15,2022-11-18,Second Class,CU-0770,Consumer,East,Georgia,Furniture,Furnishings,370.4,2,0.15,150.91
CA-2023-100001,2023-11-06,2023-11-11,Standard Class,CU-0783,Consumer,South,Florida,Office Supplies,Supplies,65.34,2,0.0,32.5
CA-2021-100002,2021-02-19,2021-02-24,Standard Class,CU-0777,Consumer,South,Florida,Office Supplies,Fasteners,6.07,1,0.4,1.06
CA-2021-100003,2021-02-20,2021-02-25,Standard Class,CU-0566,Consumer,Central,Indiana,Furniture,Chairs,399.78,1,0.2,86.69
CA-2021-100004,2021-08-18,2021-08-21,Second Class,CU-0720,Home Office,South,Arkansas,Technology,Machines,447.78,1,0.0,161.85
CA-2020-100005,2020-05-21,2020-05-26,Standard Class,CU-0648,Corporate,South,Louisiana,Furniture,Furnishings,49.66,1,0.0,21.3
CA-2023-100006,2023-01-19,2023-01-22,Second Class,CU-0048,Corporate,Central,Texas,Technology,Copiers,3472.79,4,0.15,995.86
CA-2022-100007,2022-05-24,2022-05-27,Second Class,CU-0398,Home Office,East,Ohio,Office Supplies,Fasteners,62.37,4,0.2,28.06
CA-2022-100008,2022-01-15,2022-01-20,Standard Class,CU-0749,Consumer,West,Arizona,Technology,Accessories,229.64,2,0.3,67.29
CA-2022-100009,2022-10-04,2022-10-06,First Class,CU-0340,Consumer,East,Virginia,Technology,Accessories,139.37,1,0.1,63.59
CA-2021-100010,2021-11-26,2021-12-01,Standard Class,CU-0649,Consumer,East,Ohio,Office Supplies,Supplies,330.84,4,0.0,151.55
CA-2021-100011,2021-04-19,2021-04-24,Standard Class,CU-0386,Consumer,West,Oregon,Office Supplies,Supplies,43.36,1,0.0,21.92
CA-2022-100012,2022-05-17,2022-05-17,Same Day,CU-0730,Consumer,West,Washington,Furniture,Bookcases,617.03,2,0.15,79.66
CA-2023-100013,2023-08-23,2023-08-26,Second Class,CU-0609,Consumer,Central,Michigan,Technology,Accessories,575.69,2,0.1,277.45
CA-2020-100014,2020-05-06,2020-05-09,Second Class,CU-0640,Corporate,South,Louisiana,Furniture,Furnishings,204.28,1,0.0,67.56
CA-2022-100015,2022-12-01,2022-12-04,Second Class,CU-0002,Home Office,Central,Illinois,Technology,Machines,419.97,1,0.5,-145.3
CA-2020-100016,2020-02-12,2020-02-17,Standard Class,CU-0625,Consumer,South,Oklahoma,Office Supplies,Binders,360.26,2,0.3,101.3
CA-2023-100017,2023-11-08,2023-11-11,Second Class,CU-0681,Home Office,West,Nevada,Technology,Copiers,2080.19,2,0.15,462.95
CA-2023-100018,2023-10-01,2023-10-06,Standard Class,CU-0022,Corporate,West,Montana,Technology,Accessories,289.71,2,0.1,107.98
CA-2021-100019,2021-09-06,2021-09-11,Standard Class,CU-0659,Consumer,South,Alabama,Office Supplies,Appliances,593.82,2,0.0,219.69
CA-2023-100020,2023-01-17,2023-01-22,Standard Class,CU-0607,Home Office,South,Arkansas,Technology,Machines,13761.66,6,0.0,4410.64
CA-2022-100021,2022-12-20,2022-12-25,Standard Class,CU-0792,Consumer,East,Georgia,Office Supplies,Art,198.73,5,0.15,81.22
CA-2021-100022,2021-09-22,2021-09-27,Standard Class,CU-0538,Home Office,West,Washington,Technology,Accessories,207.74,3,0.1,91.55
CA-2022-100023,2022-04-24,2022-04-26,First Class,CU-0092,Corporate,East,New York,Furniture,Tables,2273.77,3,0.3,-599.3
CA-2021-100024,2021-02-23,2021-02-26,Second Class,CU-0613,Corporate,East,Pennsylvania,Office Supplies,Labels,12.26,1,0.0,6.92
CA-2020-100025,2020-11-12,2020-11-12,Same Day,CU-0670,Consumer,East,Ohio,Office Supplies,Binders,288.48,3,0.5,32.92
CA-2022-100026,2022-11-19,2022-11-24,Standard Class,CU-0096,Consumer,West,Arizona,Furniture,Furnishings,354.06,2,0.0,167.06
CA-2021-100027,2021-02-25,2021-02-28,Second Class,CU-0086,Consumer,West,Montana,Office Supplies,Fasteners,26.02,2,0.0,14.04
CA-2020-100028,2020-05-05,2020-05-10,Standard Class,CU-0522,Corporate,West,Nevada,Office Supplies,Fasteners,10.52,1,0.0,5.6
CA-2021-100029,2021-09-02,2021-09-07,Standard Class,CU-0160,Consumer,West,Oregon,Technology,Accessories,414.17,2,0.4,-13.78
CA-2022-100030,2022-11-12,2022-11-17,Standard Class,CU-0397,Corporate,Central,Texas,Technology,Phones,2509.79,6,0.3,597.74
CA-2023-100031,2023-02-02,2023-02-07,Standard Class,CU-0075,Consumer,East,Georgia,Office Supplies,Art,41.74,2,0.15,19.02
CA-2020-100032,2020-01-25,2020-01-27,First Class,CU-0664,Consumer,West,Washington,Office Supplies,Binders,594.36,2,0.0,303.27
CA-2022-100033,2022-12-05,2022-12-10,Standard Class,CU-0019,Corporate,Central,Minnesota,Furniture,Bookcases,1036.3,2,0.0,310.27
CA-2020-100034,2020-01-09,2020-01-11,First Class,CU-0469,Home Office,East,Massachusetts,Technology,Machines,1580.47,1,0.0,492.41
CA-2023-100035,2023-12-16,2023-12-19,Second Class,CU-0588,Home Office,West,Washington,Technology,Copiers,9947.56,4,0.0,4278.43
CA-2020-100036,2020-10-12,2020-10-14,First Class,CU-0648,Corporate,Central,Missouri,Furniture,Chairs,968.11,1,0.1,331.33
CA-2023-100037,2023-11-22,2023-11-24,First Class,CU-0039,Corporate,South,Florida,Office Supplies,Binders,467.62,2,0.0,227.66
CA-2021-100038,2021-07-13,2021-07-18,Standard Class,CU-0508,Consumer,East,Massachusetts,Furniture,Bookcases,2070.75,3,0.0,583.87
CA-2020-100039,2020-02-01,2020-02-06,Standard Class,CU-0659,Home Office,South,Louisiana,Office Supplies,Fasteners,9.73,5,0.3,3.57
CA-2023-100040,2023-02-15,2023-02-18,Second Class,CU-0358,Home Office,Central,Minnesota,Technology,Machines,2723.24,1,0.0,677.89
CA-2023-100041,2023-02-21,2023-02-26,Standard Class,CU-0724,Consumer,West,Washington,Office Supplies,Fasteners,116.26,7,0.15,49.08
CA-2020-100042,2020-10-13,2020-10-15,First Class,CU-0119,Consumer,Central,Illinois,Office Supplies,Supplies,156.55,5,0.3,54.09
CA-2023-100043,2023-06-01,2023-06-06,Standard Class,CU-0511,Corporate,South,Alabama,Office Supplies,Labels,67.36,2,0.0,43.39
CA-2020-100044,2020-01-23,2020-01-25,First Class,CU-0078,Corporate,Central,Minnesota,Technology,Machines,8236.06,5,0.3,888.05
CA-2020-100045,2020-03-19,2020-03-24,Standard Class,CU-0306,Corporate,West,California,Office Supplies,Storage,46.37,2,0.1,13.93
CA-2023-100046,2023-11-12,2023-11-17,Standard Class,CU-0422,Corporate,South,Florida,Office Supplies,Paper,158.22,2,0.15,81.14
CA-2023-100047,2023-01-06,2023-01-09,Second Class,CU-0106,Consumer,Central,Minnesota,Technology,Phones,1168.65,2,0.3,249.33
CA-2022-100048,2022-10-04,2022-10-09,Standard Class,CU-0111,Consumer,South,Florida,Office Supplies,Art,51.56,1,0.0,25.56
CA-2020-100049,2020-07-16,2020-07-21,Standard Class,CU-0634,Consumer,West,Montana,Technology,Accessories,764.03,2,0.15,331.66
CA-2022-100050,2022-01-05,2022-01-10,Standard Class,CU-0073,Consumer,East,Ohio,Furniture,Bookcases,1487.64,4,0.0,437.19
CA-2021-100051,2021-11-25,2021-11-28,Second Class,CU-0303,Home Office,East,Virginia,Furniture,Chairs,943.7,1,0.1,180.85
CA-2022-100052,2022-12-14,2022-12-17,Second Class,CU-0751,Corporate,East,New Jersey,Furniture,Furnishings,148.22,3,0.3,22.85
CA-2023-100053,2023-02-26,2023-03-03,Standard Class,CU-0145,Consumer,East,New Jersey,Office Supplies,Paper,45.43,1,0.0,27.3
CA-2020-100054,2020-09-04,2020-09-09,Standard Class,CU-0613,Consumer,Central,Illinois,Office Supplies,Art,84.29,2,0.1,40.44
CA-2021-100055,2021-12-02,2021-12-07,Standard Class,CU-0446,Corporate,East,Ohio,Office Supplies,Labels,10.21,1,0.1,4.7
CA-2021-100056,2021-11-24,2021-11-26,First Class,CU-0646,Consumer,West,Oregon,Technology,Phones,116.82,1,0.4,-9.18
CA-2021-100057,2021-04-24,2021-04-27,Second Class,CU-0724,Corporate,Central,Illinois,Office Supplies,Binders,151.24,1,0.4,30.76
CA-2020-100058,2020-10-12,2020-10-17,Standard Class,CU-0261,Consumer,East,New Jersey,Office Supplies,Envelopes,38.86,2,0.0,21.27
CA-2022-100059,2022-08-02,2022-08-07,Standard Class,CU-0581,Consumer,Central,Texas,Furniture,Bookcases,1136.84,2,0.0,330.47
CA-2021-100060,2021-10-18,2021-10-23,Standard Class,CU-0229,Consumer,Central,Texas,Office Supplies,Appliances,526.04,2,0.3,131.39
CA-2021-100061,2021-11-03,2021-11-08,Standard Class,CU-0526,Corporate,Central,Michigan,Technology,Accessories,351.86,1,0.2,119.17
CA-2023-100062,2023-07-06,2023-07-11,Standard Class,CU-0198,Consumer,East,New York,Technology,Machines,1689.2,1,0.0,544.41
CA-2021-100063,2021-05-19,2021-05-24,Standard Class,CU-0411,Home Office,West,Utah,Office Supplies,Paper,409.08,7,0.2,156.92
CA-2022-100064,2022-03-04,2022-03-09,Standard Class,CU-0157,Corporate,Central,Michigan,Furniture,Bookcases,682.88,4,0.0,192.89
CA-2023-100065,2023-03-15,2023-03-20,Standard Class,CU-0550,Corporate,Central,Michigan,Technology,Phones,1732.45,2,0.2,296.59
CA-2021-100066,2021-06-15,2021-06-20,Standard Class,CU-0324,Corporate,East,Pennsylvania,Office Supplies,Supplies,79.16,3,0.1,37.96
CA-2020-100067,2020-12-08,2020-12-11,Second Class,CU-0346,Corporate,Central,Minnesota,Office Supplies,Storage,2113.05,5,0.0,1009.06
